ID,Category,Question,All Options,Option_1,Option_2,Option_3,Option_4,Coding_Scheme
TALKCMNSNSINT_W49,Social Media & Politics,"When you talk about politics with people on social media who you DISagree with, do you generally find that…",See questionnaire (multiple options),You have less in common politically than you thought,You have more in common politically than you thought,Refused,,"{'You have less in common politically than you thought': 0, 'You have more in common politically than you thought': 1, 'Refused': nan}"
SECUR1_W49,General Privacy Attitudes,"Compared with five years ago, do you feel your personal information is…",1 More secure | 2 Less secure | 3 About the same,About the same,Less secure,More secure,Refused,"{'Less secure': 0, 'About the same': 1, 'More secure': 2, 'Refused': nan}"
PRIVACYNEWS1_W49,General Privacy Attitudes,"How closely, if at all, do you follow news about privacy issues?",1 Very closely | 2 Somewhat closely | 3 Not too closely | 4 Not at all closely,Not at all closely,Not too closely,Somewhat closely,Very closely,"{'Not at all closely': 0, 'Not too closely': 1, 'Somewhat closely': 2, 'Very closely': 3}"
HOMEASSIST1_W49,Tech Adoption / Digital Practices,"Do you have a voice-controlled smart speaker in your home, such as an Amazon Echo or a Google Home?",1 Yes | 2 No,No,Yes,Refused,,"{'No': 0, 'Yes': 1, 'Refused': nan}"
HOMEASSIST2_W49,Tech Adoption / Digital Practices,"How concerned are you, if at all, about how much data your smart speaker collects about you?",1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Not concerned at all,Very concerned,Not too concerned,Somewhat concerned,"{'Not concerned at all': 0, 'Not too concerned': 1, 'Somewhat concerned': 2, 'Very concerned': 3}"
HOMEASSIST3_W49,Tech Adoption / Digital Practices,Do you ever say “please” when speaking to your smart speaker?,See questionnaire (multiple options),No,"Yes, frequently","Yes, on occasion",Refused,"{'No': 0, 'Yes, on occasion': 1, 'Yes, frequently': 2, 'Refused': nan}"
HOMEASSIST4_W49,Tech Adoption / Digital Practices,How important is it that your smart speaker takes your personal interests and preferences into account when responding to your questions or commands?,See questionnaire (multiple options),Somewhat important,Very important,Not too important,Not important at all,"{'Not important at all': 0, 'Not too important': 1, 'Somewhat important': 2, 'Very important': 3}"
HOMEASSIST5a_W49,Tech Adoption / Digital Practices,Would you like your smart speaker to do a better job of taking your interests/preferences into account in the future?,See questionnaire (multiple options),No,Yes,Refused,,"{'No': 0, 'Yes': 1, 'Refused': nan}"
HOMEASSIST5b_W49,Tech Adoption / Digital Practices,"Would you like your smart speaker to do a better job of taking your interests/preferences into account in the future, even if that meant it would need to collect more personal information about you?",See questionnaire (multiple options),No,Yes,Refused,,"{'No': 0, 'Yes': 1, 'Refused': nan}"
HOMEIOT_W49,Tech Adoption / Digital Practices,"Do you have other connected items in your home that you can control from your phone, such as smart lighting or a connected thermostat or alarm system?",1 Yes | 2 No,No,Yes,Refused,,"{'No': 0, 'Yes': 1, 'Refused': nan}"
FITTRACK_W49,Tech Adoption / Digital Practices,Do you regularly wear a smart watch or a wearable fitness tracker?,See questionnaire (multiple options),"No, do not wear this","Yes, wear this",Refused,,"{'No, do not wear this': 0, 'Yes, wear this': 1, 'Refused': nan}"
LOYALTY_W49,Tech Adoption / Digital Practices,Do you belong to any loyalty programs of a grocery store or a supermarket that you frequent?,1 Yes | 2 No,"No, do not belong to this","Yes, belong to this",Refused,,"{'No, do not belong to this': 0, 'Yes, belong to this': 1, 'Refused': nan}"
DNATEST_W49,Tech Adoption / Digital Practices,Have you ever used a mail-in DNA testing service from a company such as AncestryDNA or 23andMe?,1 Yes | 2 No,"No, have not used this","Yes, have used this",Refused,,"{'No, have not used this': 0, 'Yes, have used this': 1, 'Refused': nan}"
TRACKCO1a_W49,Private Surveillance - Perceptions,"As far as you know, how much of what you do ONLINE or on your cellphone is being tracked by advertisers, technology firms or other companies?",See questionnaire (multiple options),Some of it,All or almost all of it,Most of it,Very little of it,"{'Very little of it': 0, 'Some of it': 1, 'Most of it': 2, 'All or almost all of it': 3}"
TRACKCO1b_W49,Private Surveillance - Perceptions,"As far as you know, how much of what you do OFFLINE – like where you are or who you are talking to – is being tracked by advertisers, technology firms or other companies?",See questionnaire (multiple options),None of it,Very little of it,All or almost all of it,Some of it,"{'None of it': 0, 'Very little of it': 1, 'Some of it': 2, 'All or almost all of it': 3}"
CONCERNCO_W49,Private Surveillance - Attitudes,"How concerned are you, if at all, about how companies are using the data they collect about you?",1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Somewhat concerned,Not too concerned,Very concerned,Not at all concerned,"{'Not at all concerned': 0, 'Not too concerned': 1, 'Somewhat concerned': 2, 'Very concerned': 3}"
BENEFITCO_W49,Private Surveillance - Attitudes,How much do you feel you personally benefit from the data that companies collect about you?,1 A great deal | 2 Some | 3 Very little | 4 None,Very little,Some,A great deal,Refused,"{'Very little': 0, 'Some': 1, 'A great deal': 2, 'Refused': nan}"
CONTROLCO_W49,Private Surveillance - Perceptions,How much control do you think you have over the data that companies collect about you?,1 A great deal | 2 Some | 3 Very little | 4 None,Some control,Very little control,No control,A great deal of control,"{'No control': 0, 'Very little control': 1, 'Some control': 2, 'A great deal of control': 3}"
UNDERSTANDCO_W49,Private Surveillance - Perceptions,How much do you feel you understand what companies are doing with the data they collect about you?,1 A great deal | 2 Some | 3 Very little | 4 Nothing,Very little,Nothing,Some,A great deal,"{'Nothing': 0, 'Very little': 1, 'Some': 2, 'A great deal': 3}"
POSNEGCO_W49,Private Surveillance - Attitudes,"On balance, which would you say most accurately describes how you feel about companies collecting your data?",1 Benefits outweigh risks | 2 Risks outweigh benefits,The potential risks of companies collecting data about me outweigh the benefits I get,The benefits I get from companies collecting data about me outweigh the potential risks,Refused,,"{'The potential risks of companies collecting data about me outweigh the benefits I get': 0, 'The benefits I get from companies collecting data about me outweigh the potential risks': 1, 'Refused': nan}"
ANONYMOUS1CO_W49,Private Surveillance - Attitudes,Do you think it is possible to go about daily life today without having companies collect data about you?,1 Yes | 2 No,"Yes, it is possible","No, it is not possible",Refused,,"{'No, it is not possible': 0, 'Yes, it is possible': 1, 'Refused': nan}"
TRACKGOV1a_W49,Public Surveillance - Perceptions,"As far as you know, how much of what you do ONLINE or on your cellphone is being tracked by the government?",See questionnaire (multiple options),None of it,All or almost all of it,Most of it,Some of it,"{'None of it': 0, 'Some of it': 1, 'Most of it': 2, 'All or almost all of it': 3}"
TRACKGOV1b_W49,Public Surveillance - Perceptions,"As far as you know, how much of what you do OFFLINE – like where you are or who you are talking to – is being tracked by the government?",See questionnaire (multiple options),None of it,All or almost all of it,Very little of it,Some of it,"{'None of it': 0, 'Very little of it': 1, 'Some of it': 2, 'All or almost all of it': 3}"
CONCERNGOV_W49,Public Surveillance - Attitudes,"How concerned are you, if at all, about how the government is using the data it collects about you?",1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Not too concerned,Not at all concerned,Somewhat concerned,Very concerned,"{'Not at all concerned': 0, 'Not too concerned': 1, 'Somewhat concerned': 2, 'Very concerned': 3}"
BENEFITGOV_W49,Public Surveillance - Attitudes,How much do you feel you personally benefit from the data the government collects about you?,1 A great deal | 2 Some | 3 Very little | 4 None,Very little,Some,A great deal,Refused,"{'Very little': 0, 'Some': 1, 'A great deal': 2, 'Refused': nan}"
CONTROLGOV_W49,Public Surveillance - Perceptions,How much control do you think you have over the data the government collects about you?,1 A great deal | 2 Some | 3 Very little | 4 None,No control,Very little control,Some control,Refused,"{'No control': 0, 'Very little control': 1, 'Some control': 2, 'Refused': nan}"
UNDERSTANDGOV_W49,Public Surveillance - Perceptions,How much do you feel you understand what the government is doing with the data it collects about you?,1 A great deal | 2 Some | 3 Very little | 4 Nothing,Nothing,Very little,Some,A great deal,"{'Nothing': 0, 'Very little': 1, 'Some': 2, 'A great deal': 3}"
POSNEGGOV_W49,Public Surveillance - Attitudes,"On balance, which would you say most accurately describes how you feel about the government collecting your data?",1 Benefits outweigh risks | 2 Risks outweigh benefits,The potential risks of the government collecting data about me and others outweigh the benefits it can provide,The benefits the government can provide by collecting data about me and others outweigh the potential risks,Refused,,"{'The potential risks of the government collecting data about me and others outweigh the benefits it can provide': 0, 'The benefits the government can provide by collecting data about me and others outweigh the potential risks': 1, 'Refused': nan}"
ANONYMOUS1GOV_W49,Public Surveillance - Attitudes,Do you think it is possible to go about daily life today without having the government collect data about you?,1 Yes | 2 No,"Yes, it is possible","No, it is not possible",Refused,,"{'No, it is not possible': 0, 'Yes, it is possible': 1, 'Refused': nan}"
CONCERNGRPa_W49,Group-specific Concerns,How concerned are you about law enforcement agencies knowing about you?,1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Not concerned,Concerned a lot,Concerned a little,Refused,"{'Not concerned': 0, 'Concerned a little': 1, 'Concerned a lot': 2, 'Refused': nan}"
CONCERNGRPb_W49,Group-specific Concerns,How concerned are you about advertisers knowing about you?,1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Concerned a lot,Not concerned,Concerned a little,Refused,"{'Not concerned': 0, 'Concerned a little': 1, 'Concerned a lot': 2, 'Refused': nan}"
CONCERNGRPc_W49,Group-specific Concerns,How concerned are you about your employer knowing about you?,1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Concerned a little,Not concerned,Concerned a lot,Refused,"{'Not concerned': 0, 'Concerned a little': 1, 'Concerned a lot': 2, 'Refused': nan}"
CONCERNGRPd_W49,Group-specific Concerns,How concerned are you about the companies you buy things from knowing about you?,1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Not concerned,Concerned a little,Concerned a lot,Refused,"{'Not concerned': 0, 'Concerned a little': 1, 'Concerned a lot': 2, 'Refused': nan}"
CONCERNGRPe_W49,Group-specific Concerns,How concerned are you about your friends and family knowing about you?,1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Not concerned,Concerned a little,Concerned a lot,Refused,"{'Not concerned': 0, 'Concerned a little': 1, 'Concerned a lot': 2, 'Refused': nan}"
CONCERNGRPf_W49,Group-specific Concerns,How concerned are you about the social media sites you use knowing about you?,1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Concerned a lot,Concerned a little,Not concerned,Refused,"{'Not concerned': 0, 'Concerned a little': 1, 'Concerned a lot': 2, 'Refused': nan}"
CONTROLGRPa_W49,Control over Information Types,How much control do you think you have over your posts and activities on social media?,1 A great deal | 2 Some | 3 Very little | 4 None,A lot of control,No control,A little control,Refused,"{'No control': 0, 'A little control': 1, 'A lot of control': 2, 'Refused': nan}"
CONTROLGRPb_W49,Control over Information Types,How much control do you think you have over the search terms you use online?,1 A great deal | 2 Some | 3 Very little | 4 None,A little control,No control,A lot of control,Offline: does not have internet,"{'No control': 0, 'A little control': 1, 'A lot of control': 2, 'Offline: does not have internet': nan}"
CONTROLGRPc_W49,Control over Information Types,"How much control do you think you have over the purchases you’ve made, either online or in person?",1 A great deal | 2 Some | 3 Very little | 4 None,A little control,No control,A lot of control,Refused,"{'No control': 0, 'A little control': 1, 'A lot of control': 2, 'Refused': nan}"
CONTROLGRPd_W49,Control over Information Types,How much control do you think you have over your physical location?,1 A great deal | 2 Some | 3 Very little | 4 None,A lot of control,No control,A little control,Refused,"{'No control': 0, 'A little control': 1, 'A lot of control': 2, 'Refused': nan}"
CONTROLGRPe_W49,Control over Information Types,How much control do you think you have over the websites you visit?,1 A great deal | 2 Some | 3 Very little | 4 None,A little control,No control,A lot of control,Offline: does not have internet,"{'No control': 0, 'A little control': 1, 'A lot of control': 2, 'Offline: does not have internet': nan}"
CONTROLGRPf_W49,Control over Information Types,How much control do you think you have over the private conversations you’ve had online or using text messaging?,1 A great deal | 2 Some | 3 Very little | 4 None,A little control,No control,A lot of control,Refused,"{'No control': 0, 'A little control': 1, 'A lot of control': 2, 'Refused': nan}"
PP1_W49,Privacy Policies & Regulation,How often are you asked to agree to the terms and conditions of a company’s privacy policy?,1 Almost daily | 2 About once a week | 3 About once a month | 4 Less frequently | 5 Never,Less frequently,About once a week,About once a month,Almost daily,"{'Less frequently': 0, 'About once a month': 1, 'About once a week': 2, 'Almost daily': 3}"
PP2_W49,Privacy Policies & Regulation,"When you are asked to agree to a company’s privacy policy, how often do you read it before agreeing?",1 Always | 2 Often | 3 Sometimes | 4 Never,Never,Sometimes,Always,Often,"{'Never': 0, 'Sometimes': 1, 'Often': 2, 'Always': 3}"
PP3_W49,Privacy Policies & Regulation,"When you read a privacy policy, what do you typically do?",1 Read all | 2 Read part | 3 Glance over,Glance over it without reading it closely,Read it all the way through,Read it part of the way through,Refused,"{'Glance over it without reading it closely': 0, 'Read it part of the way through': 1, 'Read it all the way through': 2, 'Refused': nan}"
PP4_W49,Privacy Policies & Regulation,How much do you typically understand the privacy policies you read?,1 A great deal | 2 Some | 3 Very little | 4 Not at all,Very little,Some,A great deal,Not at all,"{'Not at all': 0, 'Very little': 1, 'Some': 2, 'A great deal': 3}"
PP5a_W49,Privacy Policies & Regulation,How confident are you that companies follow their privacy policies?,1 Very confident | 2 Somewhat confident | 3 Not too confident | 4 Not confident at all,Somewhat confident,Not too confident,Not confident at all,Very confident,"{'Not confident at all': 0, 'Not too confident': 1, 'Somewhat confident': 2, 'Very confident': 3}"
PP5b_W49,Privacy Policies & Regulation,How confident are you that companies promptly notify you if your personal data has been misused or compromised?,1 Very confident | 2 Somewhat confident | 3 Not too confident | 4 Not confident at all,Somewhat confident,Not too confident,Not confident at all,Very confident,"{'Not confident at all': 0, 'Not too confident': 1, 'Somewhat confident': 2, 'Very confident': 3}"
PP5c_W49,Privacy Policies & Regulation,How confident are you that companies publicly admit mistakes and take responsibility when they misuse or compromise your data?,1 Very confident | 2 Somewhat confident | 3 Not too confident | 4 Not confident at all,Somewhat confident,Not confident at all,Not too confident,Very confident,"{'Not confident at all': 0, 'Not too confident': 1, 'Somewhat confident': 2, 'Very confident': 3}"
PP5d_W49,Privacy Policies & Regulation,How confident are you that companies use your personal information in ways you will feel comfortable with?,1 Very confident | 2 Somewhat confident | 3 Not too confident | 4 Not confident at all,Somewhat confident,Not confident at all,Not too confident,Refused,"{'Not confident at all': 0, 'Not too confident': 1, 'Somewhat confident': 2, 'Refused': nan}"
PP5e_W49,Privacy Policies & Regulation,How confident are you that companies will be held accountable by the government if they misuse or compromise your data?,1 Very confident | 2 Somewhat confident | 3 Not too confident | 4 Not confident at all,Somewhat confident,Not confident at all,Not too confident,Very confident,"{'Not confident at all': 0, 'Not too confident': 1, 'Somewhat confident': 2, 'Very confident': 3}"
PP6a_W49,Privacy Policies & Regulation,How comfortable are you with companies using your personal data to improve fraud prevention systems?,1 Very comfortable | 2 Somewhat comfortable | 3 Not too comfortable | 4 Not comfortable at all,Somewhat comfortable,Not too comfortable,Not comfortable at all,Very comfortable,"{'Not comfortable at all': 0, 'Not too comfortable': 1, 'Somewhat comfortable': 2, 'Very comfortable': 3}"
PP6b_W49,Privacy Policies & Regulation,How comfortable are you with companies sharing your personal data with outside groups doing research to help improve society?,1 Very comfortable | 2 Somewhat comfortable | 3 Not too comfortable | 4 Not comfortable at all,Somewhat comfortable,Not too comfortable,Not comfortable at all,Very comfortable,"{'Not comfortable at all': 0, 'Not too comfortable': 1, 'Somewhat comfortable': 2, 'Very comfortable': 3}"
PP6c_W49,Privacy Policies & Regulation,How comfortable are you with companies using your personal data to help them develop new products?,1 Very comfortable | 2 Somewhat comfortable | 3 Not too comfortable | 4 Not comfortable at all,Somewhat comfortable,Not too comfortable,Not comfortable at all,Very comfortable,"{'Not comfortable at all': 0, 'Not too comfortable': 1, 'Somewhat comfortable': 2, 'Very comfortable': 3}"
PRIVACYREG_W49,Privacy Policies & Regulation,How much do you feel you understand the laws and regulations currently in place to protect your data privacy?,1 A great deal | 2 Some | 3 Very little | 4 Nothing,Very little,Not at all,Some,A great deal,"{'Not at all': 0, 'Very little': 1, 'Some': 2, 'A great deal': 3}"
GOVREGV1_W49,Privacy Policies & Regulation,How much government regulation of what companies can do with their customers’ personal information do you think there should be?,See questionnaire (multiple options),More regulation,About the same amount,Less regulation,Refused,"{'Less regulation': 0, 'About the same amount': 1, 'More regulation': 2, 'Refused': nan}"
GOVREGV2_W49,Privacy Policies & Regulation,Which of the following would be a more effective way to safeguard people’s personal information?,See questionnaire (multiple options),Better tools for allowing people to control their personal information themselves,Stronger laws governing what companies can and cannot do with people’s personal information,Refused,,"{'Better tools for allowing people to control their personal information themselves': 0, 'Stronger laws governing what companies can and cannot do with people’s personal information': 1, 'Refused': nan}"
SHARE1_W49,Privacy Policies & Regulation,Have you recently decided NOT to use a product or service because you were worried about how much personal information would be collected about you?,See questionnaire (multiple options),"No, have not done this","Yes, have done this",Refused,,"{'No, have not done this': 0, 'Yes, have done this': 1, 'Refused': nan}"
KNOW1_W49,Privacy Literacy / Knowledge,"If a website uses cookies, it means that the site…","Knowledge test, multiple choice (1-4 plus Not sure)",Not sure,Can track your visits and activity on the site,Can see the content of all the files on the device you are using,Will automatically prompt you to update your web browser software if it is out of date,"{'Not sure': nan, 'Can track your visits and activity on the site': 1, 'Can see the content of all the files on the device you are using': 0, 'Will automatically prompt you to update your web browser software if it is out of date': 0}"
KNOW2_W49,Privacy Literacy / Knowledge,Which of the following is the largest source of revenue for most major social media platforms?,"Knowledge test, multiple choice (1-4 plus Not sure)",Not sure,Allowing companies to purchase advertisements on their platforms,Providing consulting services to corporate clients,Exclusive licensing deals with internet service providers and cellphone manufacturers,"{'Not sure': nan, 'Allowing companies to purchase advertisements on their platforms': 1, 'Providing consulting services to corporate clients': 0, 'Exclusive licensing deals with internet service providers and cellphone manufacturers': 0}"
KNOW3_W49,Privacy Literacy / Knowledge,"When a website has a privacy policy, it means that the site…","Knowledge test, multiple choice (1-4 plus Not sure)",Not sure,Has created a contract between itself and its users about how it will use their data,Will not share its users’ personal information with third parties,Does not retain any personally identifying information about its users,"{'Not sure': nan, 'Has created a contract between itself and its users about how it will use their data': 0, 'Will not share its users’ personal information with third parties': 0, 'Does not retain any personally identifying information about its users': 0}"
KNOW4_W49,Privacy Literacy / Knowledge,"What does it mean when a website has 'https://' at the beginning of its URL, as opposed to 'http://' without the 's'?","Knowledge test, multiple choice (1-4 plus Not sure)",Not sure,The site has been verified as trustworthy,Information entered into the site is encrypted,Refused,"{'Not sure': nan, 'The site has been verified as trustworthy': 0, 'Information entered into the site is encrypted': 1, 'Refused': nan}"
KNOW5_W49,Privacy Literacy / Knowledge,Where might someone encounter a phishing scam?,"Knowledge test, multiple choice (1-4 plus Not sure)",All of the above,In an email,Not sure,None of the above,"{'All of the above': 0, 'In an email': 1, 'Not sure': nan, 'None of the above': 0}"
KNOW6_W49,Privacy Literacy / Knowledge,Which two companies listed below are both owned by Facebook?,"Knowledge test, multiple choice (1-4 plus Not sure)",Not sure,WhatsApp and Instagram,Twitter and Instagram,Twitter and Snapchat,"{'Not sure': nan, 'WhatsApp and Instagram': 1, 'Twitter and Instagram': 0, 'Twitter and Snapchat': 0}"
KNOW7_W49,Privacy Literacy / Knowledge,The term 'net neutrality' describes the principle that…,"Knowledge test, multiple choice (1-4 plus Not sure)",Not sure,Internet service providers should treat all traffic on their networks equally,Social media platforms must give equal visibility to conservative and liberal points of view,The government cannot censor online speech,"{'Not sure': nan, 'Internet service providers should treat all traffic on their networks equally': 1, 'Social media platforms must give equal visibility to conservative and liberal points of view': 0, 'The government cannot censor online speech': 0}"
KNOW8_W49,Privacy Literacy / Knowledge,"If someone opens a webpage at work using incognito mode, which group will NOT be able to see their online activities?","Knowledge test, multiple choice (1-4 plus Not sure)",Not sure,The group that runs their company’s internal computer network,The websites they visit while in private browsing mode,A coworker who uses the same computer,"{'Not sure': nan, 'The group that runs their company’s internal computer network': 0, 'The websites they visit while in private browsing mode': 1, 'A coworker who uses the same computer': 0}"
KNOW9_W49,Privacy Literacy / Knowledge,Some websites use two-step/two-factor authentication. Which of the following images is an example?,"Knowledge test, multiple choice (1-4 plus Not sure)",All of the above,Picture of captcha,Not sure,Picture of 2-step code,"{'All of the above': 0, 'Picture of captcha': 0, 'Not sure': nan, 'Picture of 2-step code': 1}"
KNOW10_W49,Privacy Literacy / Knowledge,Who is this technology leader?,"Knowledge test, multiple choice (1-4 plus Not sure)",Not sure,"Sergey Brin, co-founder of Google","Jack Dorsey, co-founder of Twitter","Travis Kalanick, co-founder of Uber","{'Not sure': nan, 'Sergey Brin, co-founder of Google': 0, 'Jack Dorsey, co-founder of Twitter': 1, 'Travis Kalanick, co-founder of Uber': 0}"
TOTALKNOW_W49,Privacy Literacy / Knowledge,Total number of correct answers to KNOW1–KNOW10 knowledge questions,See questionnaire (multiple options),1,4,5,0,"{'0': 0, '1': 1, '4': 4, '5': 5}"
PWMAN_W49,Tech Adoption / Digital Practices,"Do you use a password manager, such as LastPass or iCloud Keychain, to help keep track of your online passwords?",1 Yes | 2 No,No,Yes,Refused,,"{'No': 0, 'Yes': 1, 'Refused': nan}"
PWMAN2_W49,Tech Adoption / Digital Practices,What is the main reason you do not use a password manager?,1 Don't know what that is | 2 Passwords secure enough | 3 Just don’t need it | 4 Too expensive | 5 Too complicated | 6 Don’t trust them | 7 Don’t think effective | 8 Other,Don’t know what that is,Too expensive,Don’t need it,Other reason,"{'Don’t know what that is': nan, 'Too expensive': nan, 'Don’t need it': nan, 'Other reason': nan}"
SMARTPHONE_W49,Tech Adoption / Digital Practices,Do you have a smartphone?,1 Yes | 2 No,Yes,No,Refused,,"{'No': 0, 'Yes': 1, 'Refused': nan}"
SMARTAPP_W49,Tech Adoption / Digital Practices,How do you typically update the apps on your smartphone?,1 Update automatically | 2 Update as soon as notified | 3 Update when convenient | 4 Never install updates,Update them yourself as soon as you are notified a new version is available,Set them to update automatically,Update them yourself whenever it’s convenient,Never install app updates,"{'Never install app updates': 0, 'Update them yourself whenever it’s convenient': 1, 'Update them yourself as soon as you are notified a new version is available': 2, 'Set them to update automatically': 3}"
PUBLICDATA_W49,Data Rights & Profiling,"Do you think it is more important for people to discover potentially useful information about others, or to keep potentially damaging information about themselves from being searchable online?",1 Discover useful info | 2 Keep damaging info private,Keep things about themselves that might be potentially damaging from being searchable online,Discover potentially useful information about others,Refused,,"{'Keep things about themselves that might be potentially damaging from being searchable online': 0, 'Discover potentially useful information about others': 1, 'Refused': nan}"
RTBFa_W49,Data Rights & Profiling,"Do you think all Americans should have the right to have law enforcement data (criminal records, mugshots) removed from public online search results?","1 Yes, should have right | 2 No, should not have right","No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches",Refused,,"{'No, should not be able to remove this from online searches': 0, 'Yes, should be able to remove this from online searches': 1, 'Refused': nan}"
RTBFb_W49,Data Rights & Profiling,Do you think all Americans should have the right to have employment history/work record removed from public online search results?,"1 Yes, should have right | 2 No, should not have right","No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches",Refused,,"{'No, should not be able to remove this from online searches': 0, 'Yes, should be able to remove this from online searches': 1, 'Refused': nan}"
RTBFc_W49,Data Rights & Profiling,Do you think all Americans should have the right to have negative media coverage removed from public online search results?,"1 Yes, should have right | 2 No, should not have right","No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches",Refused,,"{'No, should not be able to remove this from online searches': 0, 'Yes, should be able to remove this from online searches': 1, 'Refused': nan}"
RTBFd_W49,Data Rights & Profiling,Do you think all Americans should have the right to have potentially embarrassing photos or videos removed from public online search results?,"1 Yes, should have right | 2 No, should not have right","Yes, should be able to remove this from online searches","No, should not be able to remove this from online searches",Refused,,"{'No, should not be able to remove this from online searches': 0, 'Yes, should be able to remove this from online searches': 1, 'Refused': nan}"
RTDa_W49,Data Rights & Profiling,"Do you think all Americans should have the right to have law enforcement data (criminal records, mugshots) permanently deleted by the people/organizations who hold it?","1 Yes, should have right | 2 No, should not have right","No, should not have  the right to have this deleted","Yes, should have the right to have this deleted",Refused,,"{'No, should not have  the right to have this deleted': 0, 'Yes, should have the right to have this deleted': 1, 'Refused': nan}"
RTDb_W49,Data Rights & Profiling,Do you think all Americans should have the right to have potentially embarrassing photos or videos permanently deleted?,"1 Yes, should have right | 2 No, should not have right","Yes, should have the right to have this deleted","No, should not have  the right to have this deleted",Refused,,"{'No, should not have  the right to have this deleted': 0, 'Yes, should have the right to have this deleted': 1, 'Refused': nan}"
RTDc_W49,Data Rights & Profiling,Do you think all Americans should have the right to have medical data collected by a health provider permanently deleted?,"1 Yes, should have right | 2 No, should not have right","Yes, should have the right to have this deleted","No, should not have  the right to have this deleted",Refused,,"{'No, should not have  the right to have this deleted': 0, 'Yes, should have the right to have this deleted': 1, 'Refused': nan}"
RTDd_W49,Data Rights & Profiling,Do you think all Americans should have the right to have financial data collected by their tax preparer permanently deleted?,"1 Yes, should have right | 2 No, should not have right","Yes, should have the right to have this deleted","No, should not have  the right to have this deleted",Refused,,"{'No, should not have  the right to have this deleted': 0, 'Yes, should have the right to have this deleted': 1, 'Refused': nan}"
PROFILE1_W49,Data Rights & Profiling,"Prior to today, how much had you heard or read about the concept of detailed personal data profiles?",See questionnaire (multiple options),Nothing at all,A little,A lot,Refused,"{'Nothing at all': 0, 'A little': 1, 'A lot': 2, 'Refused': nan}"
PROFILE2_W49,Data Rights & Profiling,How many companies do you think use these types of profiles to help understand their customers?,1 All of them | 2 Most of them | 3 Some of them | 4 Only a few | 5 Not sure,Not sure,Most of them,All of them,Some of them,"{'Not sure': nan, 'Some of them': 0, 'Most of them': 1, 'All of them': 2}"
