QKEY,DEVICE_TYPE_W49,LANG_W49,FORM_W49,SOCMEDIAUSEa_W49,SOCMEDIAUSEb_W49,SOCMEDIAUSEc_W49,SOCMEDIAUSEd_W49,SNSUSER_W49,ELECTFTGSNSINT_W49,TALKDISASNSINT_W49,TALKCMNSNSINT_W49,SECUR1_W49,PRIVACYNEWS1_W49,HOMEASSIST1_W49,HOMEASSIST2_W49,HOMEASSIST3_W49,HOMEASSIST4_W49,HOMEASSIST5a_W49,HOMEASSIST5b_W49,HOMEIOT_W49,FITTRACK_W49,LOYALTY_W49,DNATEST_W49,TRACKCNT_W49,TRACKCO1a_W49,TRACKCO1b_W49,CONCERNCO_W49,BENEFITCO_W49,CONTROLCO_W49,UNDERSTANDCO_W49,POSNEGCO_W49,ANONYMOUS1CO_W49,TRACKGOV1a_W49,TRACKGOV1b_W49,CONCERNGOV_W49,BENEFITGOV_W49,CONTROLGOV_W49,UNDERSTANDGOV_W49,POSNEGGOV_W49,ANONYMOUS1GOV_W49,CONCERNGRPa_W49,CONCERNGRPb_W49,CONCERNGRPc_W49,CONCERNGRPd_W49,CONCERNGRPe_W49,CONCERNGRPf_W49,CONTROLGRPa_W49,CONTROLGRPb_W49,CONTROLGRPc_W49,CONTROLGRPd_W49,CONTROLGRPe_W49,CONTROLGRPf_W49,PP1_W49,PP2_W49,PP3_W49,PP4_W49,PP5a_W49,PP5b_W49,PP5c_W49,PP5d_W49,PP5e_W49,PP6a_W49,PP6b_W49,PP6c_W49,PRIVACYREG_W49,GOVREGV1_W49,GOVREGV2_W49,SHARE1_W49,KNOW1_W49,KNOW2_W49,KNOW3_W49,KNOW4_W49,KNOW5_W49,KNOW6_W49,KNOW7_W49,KNOW8_W49,KNOW9_W49,KNOW10_W49,TOTALKNOW_W49,PWMAN_W49,PWMAN2_W49,SMARTPHONE_W49,SMARTAPP_W49,PUBLICDATA_W49,RTBFa_W49,RTBFb_W49,RTBFc_W49,RTBFd_W49,RTDa_W49,RTDb_W49,RTDc_W49,RTDd_W49,PROFILE1_W49,PROFILE2_W49,PROFILE3_W49,PROFILE4_W49,PROFILE5_W49,DATAUSEa_W49,DATAUSEb_W49,DATAUSEc_W49,DATAUSEd_W49,DATAUSEe_W49,DATAUSEf_W49,FACE1_W49,FACE2a_W49,FACE2b_W49,FACE2c_W49,FACE3a_W49,FACE3b_W49,FACE3c_W49,FACE4a_W49,FACE4b_W49,FACE4c_W49,FACE4d_W49,DB1a_W49,DB1b_W49,DB1c_W49,F_METRO,F_CREGION,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_RACECMB,F_RACETHN,F_NATIVITY,F_CITIZEN,F_MARITAL,F_RELIG,F_BORN,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME,F_INCOME_RECODE,F_REG,F_IDEO,F_ACSWEB,F_VOLSUM,WEIGHT_W49
184045.0,Tablet,English,Form 2,"Yes, use this","No, do not use this","No, do not use this","No, do not use this",Social media user,I don’t feel strongly about these posts one way or the other,,You have less in common politically than you thought,About the same,Somewhat closely,Yes,Not too concerned,"Yes, frequently",Somewhat important,,No,No,"No, do not wear this","Yes, belong to this","No, have not used this",2.0,,,,,,,,,Very little of it,Very little of it,Somewhat concerned,Some,No control,Nothing,The potential risks of the government collecting data about me and others outweigh the benefits it can provide,"No, it is not possible",,,,Not concerned,Not concerned,Concerned a little,,,,No control,No control,No control,Almost daily,Sometimes,Glance over it without reading it closely,Some,Very confident,Very confident,Somewhat confident,Somewhat confident,Very confident,Very comfortable,Not comfortable at all,Somewhat comfortable,Very little,,Stronger laws governing what companies can and cannot do with people’s personal information,"No, have not done this",Can see the content of all the files on the device you are using,Allowing companies to purchase advertisements on their platforms,Will not share its users’ personal information with third parties,Refused,All of the above,Not sure,Internet service providers should treat all traffic on their networks equally,Not sure,All of the above,Not sure,3.0,No,Don’t need it,Yes,Update them yourself as soon as you are notified a new version is available,Keep things about themselves that might be potentially damaging from being searchable online,,,,,"No, should not have  the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted",A lot,Most of them,"Yes, on occasion",Not too much,Not well at all,,,,Not sure,Unacceptable,Not sure,A little,Somewhat effective,Very effective,Very effective,Not too much,Not too much,Somewhat,,,Not sure,Not sure,No,No,No,Metropolitan,South,65+,Female,College graduate+,College graduate/some post grad,No,White,White non-Hispanic,U.S.,Yes,Married,Roman Catholic,"No, not born-again or evangelical Christian",Never,Democrat,,Dem/Lean Dem,"$50,000 to less than $75,000","$30-$74,999",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Liberal,Accesses Internet by paying a cell phone company or Internet service provider,No,0.6437626833
184743.0,Mobile phone,English,Form 2,"Yes, use this","No, do not use this","No, do not use this","No, do not use this",Social media user,I like seeing lots of political posts and discussions on social media,,You have less in common politically than you thought,Less secure,Somewhat closely,No,,,,,,No,"No, do not wear this","Yes, belong to this","No, have not used this",1.0,,,,,,,,,Most of it,Most of it,Very concerned,None,No control,Nothing,The potential risks of the government collecting data about me and others outweigh the benefits it can provide,"No, it is not possible",,,,Concerned a lot,Concerned a little,Concerned a lot,,,,No control,No control,A little control,About once a week,Never,,,Not too confident,Not too confident,Not too confident,Not too confident,Not too confident,Somewhat comfortable,Not too comfortable,Not too comfortable,Some,,Stronger laws governing what companies can and cannot do with people’s personal information,"No, have not done this",Not sure,Allowing companies to purchase advertisements on their platforms,Not sure,Not sure,In an email,Not sure,Internet service providers should treat all traffic on their networks equally,Not sure,All of the above,Not sure,2.0,No,Don’t know what that is,Yes,Set them to update automatically,Discover potentially useful information about others,,,,,"Yes, should have the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted",A little,Most of them,No,,,,,,Unacceptable,Unacceptable,Unacceptable,A little,Somewhat effective,Somewhat effective,Very effective,Not too much,Not too much,Not too much,,,Unacceptable,Unacceptable,No,No,No,Metropolitan,South,50-64,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,U.S.,Yes,Married,Jewish,,Once or twice a month,Democrat,,Dem/Lean Dem,"$100,000 to less than $150,000","$75,000+",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Very liberal,Accesses Internet by paying a cell phone company or Internet service provider,Yes,0.4378081361
184778.0,Desktop,English,Form 2,"Yes, use this","No, do not use this","No, do not use this","No, do not use this",Social media user,I am worn out by how many political posts and discussions I see on social media,,You have less in common politically than you thought,Less secure,Somewhat closely,No,,,,,,No,"No, do not wear this","Yes, belong to this","No, have not used this",1.0,,,,,,,,,Some of it,Some of it,Somewhat concerned,Very little,No control,Very little,The potential risks of the government collecting data about me and others outweigh the benefits it can provide,"No, it is not possible",,,,Concerned a little,Not concerned,Concerned a little,,,,A little control,No control,A little control,About once a month,Always,Read it all the way through,Some,Not too confident,Not too confident,Not too confident,Not confident at all,Not too confident,Not too comfortable,Not too comfortable,Not too comfortable,Very little,,Better tools for allowing people to control their personal information themselves,"Yes, have done this",Can track your visits and activity on the site,Allowing companies to purchase advertisements on their platforms,Not sure,Information entered into the site is encrypted,All of the above,WhatsApp and Instagram,The government cannot censor online speech,A coworker who uses the same computer,All of the above,Not sure,6.0,No,Don’t trust them,Yes,Update them yourself whenever it’s convenient,Discover potentially useful information about others,,,,,"No, should not have  the right to have this deleted","No, should not have  the right to have this deleted","No, should not have  the right to have this deleted","Yes, should have the right to have this deleted",A little,Most of them,"Yes, on occasion",Somewhat,Not too well,,,,Not sure,Unacceptable,Unacceptable,A little,Somewhat effective,Somewhat effective,Not too effective,Not too much,Not too much,Not too much,,,Unacceptable,Not sure,No,No,No,Metropolitan,Midwest,50-64,Male,Some College,"Some college, no degree",No,White,White non-Hispanic,U.S.,Yes,Married,Nothing in particular,,A few times a year,Something else,The Republican Party,Rep/Lean Rep,"$75,000 to less than $100,000","$75,000+","You are PROBABLY registered, but there is a chance your registration has lapsed",Conservative,Accesses Internet by paying a cell phone company or Internet service provider,Yes,0.370396151
185293.0,Desktop,English,Form 2,"Yes, use this","Yes, use this","No, do not use this","Yes, use this",Social media user,I am worn out by how many political posts and discussions I see on social media,,You have less in common politically than you thought,Less secure,Somewhat closely,No,,,,,,No,"No, do not wear this","Yes, belong to this","No, have not used this",1.0,,,,,,,,,All or almost all of it,All or almost all of it,Very concerned,Very little,Very little control,Very little,The potential risks of the government collecting data about me and others outweigh the benefits it can provide,"No, it is not possible",,,,Concerned a lot,Concerned a little,Concerned a little,,,,No control,No control,A little control,About once a week,Often,Read it part of the way through,Some,Somewhat confident,Somewhat confident,Somewhat confident,Not too confident,Not too confident,Not too comfortable,Not too comfortable,Somewhat comfortable,Very little,,Better tools for allowing people to control their personal information themselves,"Yes, have done this",Can track your visits and activity on the site,Allowing companies to purchase advertisements on their platforms,Not sure,Not sure,All of the above,Twitter and Instagram,Social media platforms must give equal visibility to conservative and liberal points of view,Not sure,Picture of “favorite sport + mother’s maiden name” security question,Not sure,3.0,No,Other reason,Yes,Update them yourself whenever it’s convenient,Keep things about themselves that might be potentially damaging from being searchable online,,,,,"No, should not have  the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted",A little,Most of them,"Yes, on occasion",Somewhat,Somewhat well,,,,Unacceptable,Not sure,Unacceptable,A lot,Somewhat effective,Not too effective,Not too effective,Not at all,Not at all,Not at all,,,Unacceptable,Unacceptable,No,No,No,Metropolitan,Northeast,18-29,Female,College graduate+,College graduate/some post grad,No,White,White non-Hispanic,U.S.,Yes,Never been married,Jewish,,Once or twice a month,Republican,,Rep/Lean Rep,"$40,000 to less than $50,000","$30-$74,999",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Conservative,Accesses Internet by paying a cell phone company or Internet service provider,No,0.9864712651
185394.0,Desktop,English,Form 2,"Yes, use this","Yes, use this","No, do not use this","Yes, use this",Social media user,I like seeing lots of political posts and discussions on social media,,You have more in common politically than you thought,Less secure,Somewhat closely,No,,,,,,No,"No, do not wear this","No, do not belong to this","No, have not used this",0.0,,,,,,,,,Some of it,Very little of it,Somewhat concerned,None,No control,Some,The potential risks of the government collecting data about me and others outweigh the benefits it can provide,"No, it is not possible",,,,Concerned a lot,Not concerned,Concerned a little,,,,A little control,No control,No control,About once a month,Sometimes,Read it part of the way through,Some,Not too confident,Not too confident,Not too confident,Not too confident,Not too confident,Not too comfortable,Not too comfortable,Not too comfortable,Some,,Stronger laws governing what companies can and cannot do with people’s personal information,"Yes, have done this",Can track your visits and activity on the site,Not sure,Will not share its users’ personal information with third parties,The site is only accessible to people in certain countries,All of the above,WhatsApp and Instagram,Internet service providers should treat all traffic on their networks equally,Not sure,Picture of 2-step code,Not sure,5.0,No,Don’t need it,No,,Discover potentially useful information about others,,,,,"Yes, should have the right to have this deleted","No, should not have  the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted",A little,Most of them,"Yes, frequently",Somewhat,Not too well,,,,Not sure,Unacceptable,Not sure,A little,Not too effective,Not too effective,Not too effective,Not at all,Not too much,Not at all,,,Unacceptable,Unacceptable,No,No,No,Metropolitan,Midwest,50-64,Male,College graduate+,College graduate/some post grad,No,Asian or Asian-American,Other,U.S.,Yes,Never been married,Atheist,,Never,Democrat,,Dem/Lean Dem,"Less than $10,000","<$30,000",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Very liberal,Accesses Internet by paying a cell phone company or Internet service provider,No,0.4862568108
185896.0,Desktop,English,Form 1,"Yes, use this","Yes, use this","Yes, use this","Yes, use this",Social media user,I like seeing lots of political posts and discussions on social media,Interesting and informative,,More secure,Somewhat closely,Yes,Very concerned,No,Not too important,Yes,,No,"No, do not wear this","Yes, belong to this","No, have not used this",2.0,All or almost all of it,All or almost all of it,Not at all concerned,A great deal,A great deal of control,Nothing,The benefits I get from companies collecting data about me outweigh the potential risks,"Yes, it is possible",,,,,,,,,Concerned a lot,Concerned a lot,,,,,A lot of control,A lot of control,A lot of control,,,,Almost daily,Never,,,Very confident,Very confident,Very confident,Very confident,Very confident,Very comfortable,Very comfortable,Very comfortable,Very little,More regulation,,"No, have not done this",Can track your visits and activity on the site,Allowing companies to purchase advertisements on their platforms,Not sure,Not sure,All of the above,WhatsApp and Instagram,Online advertisers cannot post ads for housing or jobs that are only visible to people of a certain race,Not sure,All of the above,"Jack Dorsey, co-founder of Twitter",5.0,No,Too expensive,Yes,Set them to update automatically,Keep things about themselves that might be potentially damaging from being searchable online,"Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches",,,,,A little,All of them,"Yes, frequently",A great deal,Very well,Acceptable,Acceptable,Acceptable,,,,A lot,Very effective,Very effective,Very effective,A great deal,A great deal,A great deal,Acceptable,Acceptable,,,No,No,No,Metropolitan,Northeast,30-49,Male,Some College,Associate's degree,Yes,Asian or Asian-American,Hispanic,U.S.,Yes,Never been married,Hindu,,Seldom,Democrat,,Dem/Lean Dem,"$100,000 to less than $150,000","$75,000+",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Very liberal,Accesses Internet by paying a cell phone company or Internet service provider,No,0.7038209771
185944.0,Tablet,English,Form 2,"No, do not use this","No, do not use this","No, do not use this","No, do not use this",Does not use social media,,,,About the same,Not at all closely,No,,,,,,Yes,"Yes, wear this","No, do not belong to this","No, have not used this",2.0,,,,,,,,,Most of it,Most of it,Not at all concerned,None,No control,Nothing,The potential risks of the government collecting data about me and others outweigh the benefits it can provide,"Yes, it is possible",,,,Not concerned,Concerned a little,,,,,A little control,Offline: does not have internet,A little control,Less frequently,Sometimes,Read it part of the way through,A great deal,Somewhat confident,Not too confident,Not confident at all,Somewhat confident,Not too confident,Somewhat comfortable,Not comfortable at all,Not too comfortable,Very little,,Better tools for allowing people to control their personal information themselves,"No, have not done this",Can track your visits and activity on the site,Exclusive licensing deals with internet service providers and cellphone manufacturers,Will not share its users’ personal information with third parties,Information entered into the site is encrypted,Not sure,Snapchat and WhatsApp,Not sure,Not sure,Picture of captcha,Not sure,2.0,No,Offline: does not have internet,No,,Keep things about themselves that might be potentially damaging from being searchable online,,,,,"Yes, should have the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted","No, should not have  the right to have this deleted",Nothing at all,,,,,,,,Acceptable,Acceptable,Unacceptable,A little,Very effective,Very effective,Very effective,Somewhat,Somewhat,Somewhat,,,Not sure,Acceptable,No,Offline: does not have internet,No,Metropolitan,South,50-64,Female,H.S. graduate or less,High school graduate,No,Mixed Race,Other,Another country,Yes,Married,Muslim,,Once a week,Democrat,,Dem/Lean Dem,"$40,000 to less than $50,000","$30-$74,999",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Very liberal,Accesses Internet by paying a cell phone company or Internet service provider,No,0.5174069405
186170.0,Mobile phone,English,Form 1,"Yes, use this","Yes, use this","No, do not use this","No, do not use this",Social media user,I am worn out by how many political posts and discussions I see on social media,Interesting and informative,,Less secure,Very closely,No,,,,,,No,"No, do not wear this","No, do not belong to this","No, have not used this",0.0,Most of it,Most of it,Very concerned,A great deal,Some control,Some,The potential risks of companies collecting data about me outweigh the benefits I get,"No, it is not possible",,,,,,,,,Concerned a little,Concerned a little,Concerned a little,,,,A little control,A little control,A little control,,,,Almost daily,Never,,,Very confident,Very confident,Very confident,Very confident,Very confident,Very comfortable,Very comfortable,Very comfortable,A great deal,Less regulation,,"Yes, have done this",Is not a risk to infect your device with a computer virus,Exclusive licensing deals with internet service providers and cellphone manufacturers,Will not share its users’ personal information with third parties,The site is only accessible to people in certain countries,All of the above,Snapchat and WhatsApp,Online advertisers cannot post ads for housing or jobs that are only visible to people of a certain race,The websites they visit while in private browsing mode,Picture of security image,Not sure,1.0,No,Don’t need it,Yes,Set them to update automatically,Keep things about themselves that might be potentially damaging from being searchable online,"No, should not be able to remove this from online searches","No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches","No, should not be able to remove this from online searches",,,,,A little,Most of them,"Yes, frequently",A great deal,Very well,Acceptable,Acceptable,Acceptable,,,,A lot,Very effective,Very effective,Very effective,A great deal,A great deal,A great deal,Acceptable,Acceptable,,,No,No,No,Metropolitan,Midwest,30-49,Male,Some College,Associate's degree,No,White,White non-Hispanic,U.S.,Yes,Never been married,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Refo","Yes, born-again or evangelical Christian",Seldom,Republican,,Rep/Lean Rep,"$50,000 to less than $75,000","$30-$74,999",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Moderate,Does not access the Internet by paying a cell phone company or Internet service provider,Yes,0.2393909211
186444.0,Mobile phone,English,Form 2,"Yes, use this","Yes, use this",Refused,"No, do not use this",Social media user,I am worn out by how many political posts and discussions I see on social media,,You have more in common politically than you thought,Less secure,Somewhat closely,No,,,,,,No,"No, do not wear this","Yes, belong to this","No, have not used this",1.0,,,,,,,,,All or almost all of it,All or almost all of it,Very concerned,None,No control,Some,The potential risks of the government collecting data about me and others outweigh the benefits it can provide,"No, it is not possible",,,,Not concerned,Not concerned,Concerned a little,,,,A little control,No control,A little control,About once a week,Sometimes,Read it all the way through,Very little,Not too confident,Not confident at all,Not confident at all,Not too confident,Not confident at all,Somewhat comfortable,Not comfortable at all,Not comfortable at all,Very little,,Stronger laws governing what companies can and cannot do with people’s personal information,"No, have not done this",Can track your visits and activity on the site,Allowing companies to purchase advertisements on their platforms,Has created a contract between itself and its users about how it will use their data,Not sure,In an email,WhatsApp and Instagram,Internet service providers should treat all traffic on their networks equally,A coworker who uses the same computer,All of the above,Not sure,6.0,Yes,,Yes,Set them to update automatically,Keep things about themselves that might be potentially damaging from being searchable online,,,,,"Yes, should have the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted",A little,All of them,"Yes, on occasion",Not too much,Somewhat well,,,,Unacceptable,Unacceptable,Unacceptable,A lot,Somewhat effective,Somewhat effective,Somewhat effective,Not at all,Not at all,Not at all,,,Unacceptable,Not sure,No,No,No,Metropolitan,South,50-64,Female,Some College,"Some college, no degree",No,White,White non-Hispanic,U.S.,Yes,Divorced,Roman Catholic,"No, not born-again or evangelical Christian",Never,Republican,,Rep/Lean Rep,"$10,000 to less than $20,000","<$30,000",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Moderate,Accesses Internet by paying a cell phone company or Internet service provider,No,0.6531963795
186956.0,Mobile phone,English,Form 2,Refused,"No, do not use this","No, do not use this",Refused,Does not use social media,,,,Less secure,Somewhat closely,Yes,Somewhat concerned,"Yes, on occasion",Not too important,,No,No,"Yes, wear this","Yes, belong to this","No, have not used this",3.0,,,,,,,,,Some of it,Some of it,Refused,Very little,Very little control,Very little,The potential risks of the government collecting data about me and others outweigh the benefits it can provide,"Yes, it is possible",,,,Concerned a lot,Concerned a little,,,,,A lot of control,A little control,A little control,About once a week,Refused,,,Somewhat confident,Somewhat confident,Not too confident,Somewhat confident,Not too confident,Somewhat comfortable,Not too comfortable,Somewhat comfortable,Very little,,Better tools for allowing people to control their personal information themselves,"Yes, have done this",Can track your visits and activity on the site,Allowing companies to purchase advertisements on their platforms,Has created a contract between itself and its users about how it will use their data,Information entered into the site is encrypted,All of the above,Not sure,Internet service providers should treat all traffic on their networks equally,A coworker who uses the same computer,All of the above,Not sure,7.0,No,Don’t know what that is,Yes,Update them yourself whenever it’s convenient,Keep things about themselves that might be potentially damaging from being searchable online,,,,,"No, should not have  the right to have this deleted","Yes, should have the right to have this deleted","No, should not have  the right to have this deleted","Yes, should have the right to have this deleted",A little,Most of them,"Yes, frequently",Not too much,Somewhat well,,,,Unacceptable,Unacceptable,Unacceptable,A little,Somewhat effective,Somewhat effective,Somewhat effective,Not too much,Not too much,Somewhat,,,Unacceptable,Not sure,No,No,No,Metropolitan,West,30-49,Female,College graduate+,College graduate/some post grad,No,White,White non-Hispanic,U.S.,Yes,Married,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Refo","Yes, born-again or evangelical Christian",Once a week,Republican,,Rep/Lean Rep,"$50,000 to less than $75,000","$30-$74,999",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Conservative,Accesses Internet by paying a cell phone company or Internet service provider,Yes,1.2392029226
186980.0,Tablet,English,Form 1,"No, do not use this","No, do not use this","No, do not use this","No, do not use this",Does not use social media,,,,Less secure,Somewhat closely,No,,,,,,No,"No, do not wear this","No, do not belong to this","No, have not used this",0.0,All or almost all of it,Some of it,Very concerned,Very little,No control,A great deal,The potential risks of companies collecting data about me outweigh the benefits I get,"No, it is not possible",,,,,,,,,Concerned a lot,Concerned a lot,,,,,,Offline: does not have internet,A lot of control,,,,About once a month,Often,Read it all the way through,A great deal,Not confident at all,Not confident at all,Not confident at all,Not too confident,Not too confident,Not comfortable at all,Not comfortable at all,Not comfortable at all,A great deal,More regulation,,"Yes, have done this",Not sure,Allowing companies to purchase advertisements on their platforms,Has created a contract between itself and its users about how it will use their data,Information entered into the site is encrypted,All of the above,Not sure,Not sure,The websites they visit while in private browsing mode,All of the above,Not sure,4.0,No,Offline: does not have internet,No,,Keep things about themselves that might be potentially damaging from being searchable online,"Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches",,,,,A lot,All of them,"Yes, on occasion",Somewhat,Not too well,Unacceptable,Unacceptable,Unacceptable,,,,A little,Not too effective,Not too effective,Not too effective,Not at all,Not at all,Not at all,Unacceptable,Unacceptable,,,Yes,Offline: does not have internet,Yes,Metropolitan,West,50-64,Female,College graduate+,College graduate/some post grad,No,White,White non-Hispanic,U.S.,Yes,Living with a partner,Nothing in particular,,A few times a year,Something else,The Republican Party,Rep/Lean Rep,"Less than $10,000","<$30,000",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Moderate,Does not access the Internet by paying a cell phone company or Internet service provider,Yes,0.3669854149
187312.0,Mobile phone,English,Form 1,"Yes, use this","Yes, use this","No, do not use this","No, do not use this",Social media user,I am worn out by how many political posts and discussions I see on social media,Stressful and frustrating,,About the same,Somewhat closely,Yes,Not too concerned,"Yes, frequently",Somewhat important,No,,No,"No, do not wear this","Yes, belong to this","No, have not used this",2.0,All or almost all of it,Very little of it,Somewhat concerned,Some,No control,Very little,The potential risks of companies collecting data about me outweigh the benefits I get,"No, it is not possible",,,,,,,,,Not concerned,Concerned a little,Not concerned,,,,No control,No control,No control,,,,Almost daily,Never,,,Not too confident,Not too confident,Not too confident,Not too confident,Not too confident,Somewhat comfortable,Not too comfortable,Somewhat comfortable,Very little,More regulation,,"Yes, have done this",Not sure,Not sure,Not sure,Not sure,All of the above,Not sure,Not sure,Not sure,Not sure,Not sure,1.0,No,Don’t know what that is,Yes,Update them yourself whenever it’s convenient,Discover potentially useful information about others,"No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches","No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches",,,,,A little,Most of them,"Yes, frequently",Not too much,Somewhat well,Acceptable,Acceptable,Acceptable,,,,A little,Somewhat effective,Somewhat effective,Somewhat effective,Not too much,Somewhat,Somewhat,Acceptable,Unacceptable,,,No,No,No,Metropolitan,Northeast,50-64,Female,H.S. graduate or less,High school graduate,No,White,White non-Hispanic,U.S.,Yes,Married,Roman Catholic,"No, not born-again or evangelical Christian",Seldom,Democrat,,Dem/Lean Dem,"$100,000 to less than $150,000","$75,000+",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Liberal,Accesses Internet by paying a cell phone company or Internet service provider,No,0.6288202831
187774.0,Tablet,English,Form 1,"No, do not use this","No, do not use this","No, do not use this","No, do not use this",Does not use social media,,,,Less secure,Not too closely,No,,,,,,No,"No, do not wear this","Yes, belong to this","No, have not used this",1.0,Most of it,Most of it,Very concerned,Very little,No control,Very little,The potential risks of companies collecting data about me outweigh the benefits I get,"No, it is not possible",,,,,,,,,Concerned a little,Concerned a lot,Not concerned,,,,,A little control,No control,,,,About once a month,Always,Glance over it without reading it closely,Very little,Not confident at all,Not confident at all,Not confident at all,Not confident at all,Not confident at all,Somewhat comfortable,Not comfortable at all,Not comfortable at all,Very little,More regulation,,"Yes, have done this",Can track your visits and activity on the site,Not sure,Not sure,Information entered into the site is encrypted,All of the above,Twitter and Instagram,Not sure,Not sure,Picture of 2-step code,Not sure,4.0,No,Other reason,No,,Discover potentially useful information about others,"No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches",,,,,A little,Some of them,"Yes, on occasion",Not at all,Not too well,Unacceptable,Acceptable,Unacceptable,,,,A little,Somewhat effective,Somewhat effective,Somewhat effective,Not at all,Not too much,Somewhat,Acceptable,Acceptable,,,Yes,No,No,Metropolitan,Midwest,50-64,Male,College graduate+,College graduate/some post grad,Yes,White,Hispanic,Another country,Yes,Married,Roman Catholic,"No, not born-again or evangelical Christian",A few times a year,Republican,,Rep/Lean Rep,"Less than $10,000","<$30,000",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Very conservative,Does not access the Internet by paying a cell phone company or Internet service provider,No,1.5681375808
188245.0,Tablet,English,Form 1,"No, do not use this","No, do not use this","Yes, use this","No, do not use this",Social media user,I like seeing lots of political posts and discussions on social media,Stressful and frustrating,,Less secure,Somewhat closely,No,,,,,,No,"Yes, wear this","Yes, belong to this","No, have not used this",2.0,All or almost all of it,Some of it,Somewhat concerned,Some,No control,Very little,The potential risks of companies collecting data about me outweigh the benefits I get,"No, it is not possible",,,,,,,,,Not concerned,Concerned a little,Not concerned,,,,No control,No control,No control,,,,About once a month,Sometimes,Glance over it without reading it closely,Some,Somewhat confident,Somewhat confident,Not too confident,Somewhat confident,Somewhat confident,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Very little,More regulation,,"No, have not done this",Not sure,Allowing companies to purchase advertisements on their platforms,Has created a contract between itself and its users about how it will use their data,Not sure,All of the above,Not sure,Internet service providers should treat all traffic on their networks equally,Not sure,All of the above,Not sure,4.0,No,Don’t need it,Yes,Update them yourself as soon as you are notified a new version is available,Discover potentially useful information about others,"No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches","No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches",,,,,A lot,Most of them,"Yes, frequently",Somewhat,Somewhat well,Acceptable,Acceptable,Acceptable,,,,A little,Somewhat effective,Somewhat effective,Somewhat effective,Not at all,Not at all,Not at all,Unacceptable,Unacceptable,,,No,No,No,Metropolitan,South,65+,Female,H.S. graduate or less,High school graduate,No,White,White non-Hispanic,U.S.,Yes,Widowed,Roman Catholic,"No, not born-again or evangelical Christian",Once a week,Democrat,,Dem/Lean Dem,"$30,000 to less than $40,000","$30-$74,999",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Moderate,Accesses Internet by paying a cell phone company or Internet service provider,Yes,0.2852894726
